country,iso2c,iso3c,year,status,lastupdated,life_expectancy,access_to_electricity,co2_emissions,gdp_per_cap,region,capital,longitude,latitude,income,lending
Afghanistan,AF,AFG,2015,,2023-05-10,62.659,71.5,0.176179956928317,592.476537451681,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1997,,2023-05-10,53.634,NA,0.0617354080672809,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2014,,2023-05-10,62.545,89.5,0.14915052813269,602.516979299112,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2003,,2023-05-10,57.344,14.7385063171387,0.0538176199474236,363.101481459528,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2000,,2023-05-10,55.298,1.61359095573425,0.0388998976717064,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2002,,2023-05-10,56.454,9.40915775299072,0.0492198761767476,359.766342668484,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2010,,2023-05-10,60.851,42.7000007629395,0.252083458083514,569.282712026308,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2011,,2023-05-10,61.419,43.2220191955566,0.30525973791313,551.000970270826,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2001,,2023-05-10,55.798,4.07457399368286,0.0373229587510194,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2009,,2023-05-10,60.364,46.7400512695313,0.178123619355445,512.409279249256,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2013,,2023-05-10,62.417,68.2906494140625,0.189816756865598,608.386714575999,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1995,,2023-05-10,52.544,NA,0.0755403281289284,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1998,,2023-05-10,52.943,NA,0.0562370938573304,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2012,,2023-05-10,61.923,69.0999984741211,0.265190801995859,596.4428151196,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2008,,2023-05-10,59.852,42.4000015258789,0.134885274826137,437.420026808226,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2007,,2023-05-10,59.111,36.0510101318359,0.0683854926443545,429.412537341828,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2004,,2023-05-10,57.944,20.0649681091309,0.0439257333214852,354.033912870345,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1999,,2023-05-10,54.846,NA,0.0422211732253285,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2005,,2023-05-10,58.361,25.3908939361572,0.063577848372904,379.955829325586,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2006,,2023-05-10,58.684,30.7186908721924,0.0693386740150825,384.078305241572,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1996,,2023-05-10,53.243,NA,0.0687278795107969,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Africa Eastern and Southern,ZH,AFE,2001,,2023-05-10,52.189648214333,19.9862203237456,0.954218726450729,1277.6325157211,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1996,,2023-05-10,50.8106889705148,NA,0.936859640587265,1239.81151287062,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1997,,2023-05-10,50.9742313589474,NA,0.957612664223872,1262.20113333211,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2009,,2023-05-10,57.6208515442432,26.1513599969695,0.985327374803875,1477.4141283045,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2002,,2023-05-10,52.540794004192,21.6015034178654,0.95615429346525,1293.8030190029299,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2005,,2023-05-10,54.2196508058582,23.4811562468684,1.00288272544894,1380.98675200966,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2006,,2023-05-10,55.1505461100496,24.7499128916126,0.99135528353228,1432.87396604818,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2000,,2023-05-10,51.9644813247726,19.9579298951035,0.886296227235603,1264.52669876992,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2010,,2023-05-10,58.4111497501441,27.4827342843522,1.0118620793732,1512.48412905363,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1995,,2023-05-10,51.0019252899341,NA,0.926347717361845,1207.58040988935,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2008,,2023-05-10,56.6804188973962,25.913958456892,1.04752190272132,1508.39238234052,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2004,,2023-05-10,53.5454571098034,23.8158804627515,1.02765019539154,1336.08017987624,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2013,,2023-05-10,60.709863140516,31.6106918811145,0.995679527903089,1518.48284998924,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2014,,2023-05-10,61.337911447657,31.8249495513156,1.00688985573904,1537.15957094243,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2003,,2023-05-10,53.0220345898659,22.5483066365335,0.98286769529315,1299.83317237515,Aggregates,,,,Aggregates,Aggregates
